ID;URL;Titel;Beschreibung;Ort;sozioek;ereichbar_zug;phys;klima_umwelt;datentypen;Komm;Portaltyp;amsta;fachda;opendportal;geodatenportal;Ebene;Adresse_Herausgeber;Geodaten;lon;lat1;geprüft;Lizenz
23;https://www.offenesdatenportal.de/;Offenesdatenportal.de;„Die Kommunalverwaltungen in Deutschland bietet Ihnen auf diesem Portal zahlreiche Datensätze, Dienste und Anwendungen der Behörden und Ämter an. Die Datensätze werden von der Verwaltung im Sinne von „Open Data“ frei verfügbar und nutzbar in entsprechenden Kommunalportalen zur Verfügung gestellt. Sie können entsprechend der Nutzungsbedingungen und Lizenzen weiterverwendet werden, beispielweise für die Entwicklung von Apps.“ (Quelle: Offenesdatenportal.de, abgerufen am 26.10.2017);Deutschland;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Friedrich-Heinrich-Allee 130, 47475 Kamp-Lintfort; ;6.6349184623613;51.4567152629148; ; 
25;https://www.govdata.de/;GovData - das Datenportal für Deutschland;Zentraler Zugang für Verwaltungsdaten aus Deutschland;Deutschland;JA;JA;JA;JA;xlsx, csv, kml, xml, json; ;odp; ; ;JA; ;national;Gänsemarkt 36, 20354 Hamburg; ;9.90653723445175;53.643918409935;1/7/2021;je nach Ressource ausgewiesen
26;https://www.mcloud.de/;mCloud;Die mCLOUD des BMVI ist eine Rechercheplattform zu offenen Daten aus dem Bereich Mobilität und angrenzender Themen.;Deutschland; ;JA; ;JA;wms, wfs, gml, tiff, csv; ;odp; ; ;JA; ;national;Robert-Schuman-Platz 1, D 53175 Bonn;ja;7.08802118841489;50.7623162671005;1/7/2021;je nach Ressource ausgewiesen
27;http://www.offenedaten.frankfurt.de;offenedaten.frankfurt.de;„Hier finden Sie offene Daten aus den Ämtern und Betriebender Stadtverwaltung Frankfurt am Main. Es handelt sich um „offene“ Daten, weil die Stadt Frankfurt die Datensätze zur freien Nutzung und in offenen, maschinenlesbaren Formaten bereitstellt. Wir folgen hier der Idee, die allgemein als Open Data bezeichnet wird.“  (Quelle: Offene Daten Frankfurt, abgerufen am 26.10.2017);Frankfurt am Main;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Frankfurt am Main, Zanderstraße 7, 60327 Frankfurt am Main; ;8.59075247679281;50.0684996918668; ; 
28;https://fritz.freiburg.de/;Freiburg FRITZ Online Statistics;Statistik-Portal der Stadt Freiburg im Breisgau (enthält u.a. die Themen „Open Data“ und „Geodaten“) (Stand: 22.6.2018);Freiburg im Breisgau;JA;JA;JA; ; ; ;amsta;JA; ; ; ;kommunal;Stadt Freiburg im Breisgau, Rathausplatz 2 - 4, 79098 Freiburg;ja;7.87010314083098;47.9642733594551; ; 
29;https://opendata.gelsenkirchen.de/;Offene Daten Gelsenkirchen;„Die Daten Deiner Stadt gehören Dir. Wir – die Stadt Gelsenkirchen – öffnen sie und Du machst was draus. Zum Beispiel Webanwendungen wie Apps oder Internetseiten. So haben alle etwas davon: Du weißt mehr über deine Stadt und viele Menschen profitieren von Deinem Wissen. Sei Teil der digitalen Revolution!“  (Quelle: Offene Daten Gelsenkirchen, abgerufen am 26.10.2017);Gelsenkirchen;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Gelsenkirchen, Ebertstraße 11, 45879 Gelsenkirchen; ;7.0313721741874;51.47990033122; ; 
30;http://www.daten.halle.de;Halle an der Saale Open Data;„Auf dem Weg zu einem eigenen Open-Data-Portal gibt die Stadtverwaltung verschiedene Datensätze in bspw. CSV- und Excel-Formaten frei. Dies ist der erste Schritt. Es ist geplant, zukünftig weitere Daten zur freien Verfügung einzustellen.“ (Quelle: http://www.daten.halle.de, abgerufen am 26.10.2017);Halle an der Saale;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Halle, Marktplatz 1, 06100 Halle; ;11.9269036338038;51.4613389830279; ; 
31;http://www.hamburg.de/gdi-hh;GDI Hamburg;Eine Geodateninfrastruktur (GDI) ist ein komplexes Netzwerk zum standardisierten Austausch von Geodaten mit dem Ziel, diese leichter zugänglich und kombinierbar zu machen. Eine GDI wird auf verschiedenen Ebenen aufgebaut. Dabei ist die Geodateninfrastruktur Hamburg (GDI-HH) sowohl eigenständig, als auch ein Bestandteil der GDI-DE.  (Stand: 22.6.2018);Hamburg; ; ;JA; ; ; ;geoda; ; ; ;JA;regional;Neuenfelder Straße 19, 21109 Hamburg;ja;10.1624586115816;53.474482450201; ; 
32;http://daten.hamburg.de/;Transparenzportal Hamburg;Die bisher unter dem Open Data Portal veröffentlichten Daten, finden Sie nun hier im Transparenzportal.  (Stand: 22.6.2018);Hamburg;JA; ;JA;JA; ; ;odp; ; ;JA; ;regional;Freie und Hansestadt Hamburg, Rathausmarkt 1, 20095 Hamburg; ;10.0304457786348;53.6516906755854; ; 
33;https://www.opendata-hro.de/;OpenData.HRO;„Die Hansestadt Rostock sammelt und pflegt eine Vielzahl von Daten. Diese Daten bergen enormes Potenzial für Innovationen, sofern sie als offene Daten für jedermann frei zugänglich gemacht werden und sie für jegliche Zwecke weiterverwendet und -verbreitet werden können – insbesondere auch für kommerzielle Zwecke. Das vorliegende Portal dient als zentrale Plattform zur Veröffentlichung offener Daten der Hansestadt Rostock.“ (Quelle: OpenData.HRO, abgerufen am 26.10.2017);Hansestadt Rostock;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Hansestadt Rostock, 18050 Rostock; ;12.0699808518825;54.0485579133931; ; 
34;http://www.herne.de/Stadt-und-Leben/Stadtfakten/Open-Data/;Herne Open Data;„Im Open Data Portal der Stadt Herne werden verschiedene Datensätze der Stadtverwaltung veröffentlicht.“ (Quelle: Herne Open Data, abgerufen am 26.10.2017);Herne;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Herne, Friedrich-Ebert-Platz 2, 44623 Herne; ;7.17912460822637;51.5636639691024; ; 
35;http://www.geoportal.hessen.de/;GDI Hessen;„Das Geoportal Hessen ist der zentrale Einstiegspunkt in die Geodateninfrastruktur Hessen und bietet einen einheitlichen und einfachen Zugang zu raumbezogenen Daten des Landes Hessen im Internet. Hier steht die Karte im Mittelpunkt.“ (Quelle: GDI Hessen, abgerufen am 26.10.2017);Hessen; ; ;JA; ; ; ;geoda; ; ; ;JA;regional;Schaperstraße 16, 65195 Wiesbaden;ja;8.17164421003704;50.128943477811; ; 
36;http://opendata.jena.de/;Jena OpenData;„Das Portal dient der Veröffentlichung von offenen Daten der Stadt Jena zur freien Verwendung und Nutzung entsprechend der Lizenzierung. Der Umfang der Datensätze wird kontinuierlich erweitert. Wir stellen sowohl dynamische als auch statische Daten zur Verfügung.“ (Quelle: Jena Open Data, abgerufen am 26.10.2017);Jena;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Am Anger 15, 07743 Jena,; ;11.5876823;50.9288545971278; ; 
37;https://www.offenesdatenportal.de/organization/kreis-kleve;Kreis Kleve Open Data;Open Data Portal des Kreises Kleve  auf der Plattform offenesdatenportal.de, 83 Datensätze nach 7 Gruppen geordnet, u.a. zur öffentlichen Verwalltung, Wirtschaft und Arbeit, Transport und Verkehr (Stand: 26.10.2017);Kreis Kleve;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Kleve; ;6.17999189706932;51.8050706319362; ; 
38;https://www.offenesdatenportal.de/organization/stadt-kleve;Stadt Kleve Open Data;Open Data der Stadt Kleve auf der Plattform offenesdatenportal.de, 46 Datensätze mit verschiedenen Tags versehen, Bezug u.a. demographische Daten, öffentlichen Einrichtungen und Flächennutzung (Stand: 26.10.2017);Stadt Kleve;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Kleve; ;6.08278445238098;51.7658772137872; ; 
39;https://www.offenedaten-koeln.de/;Offene Daten Köln;Offene Daten der Stadt Köln mit Datensätzen verschiedener Einrichtungen, u. a. Kölner Zoo, Stadtbibilothek, Polizei, Verkehrsverbund Rhein-Sieg GmbH, Kölner Verkehrs-Betriebe AG, Feuerwehr Koeln, AWB Abfallwirtschaftsbetriebe Köln GmbH, FH Köln, cambio Carsharing  (Stand: 26.10.20;Köln;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Köln; ;6.95374662562515;50.974367403996; ; 
40;https://www.offenesdatenportal.de/organization/krefeld;Krefeld Open Data;Open Data der Stadt Kleve auf der Plattform offenesdatenportal.de, 45 Datensätze mit verschiedenen Tags versehen, gruppiert nach den Themen „Bevolkerung, Geologie und Geobasisdaten“, „Kultur, Freizeit, Sport und Tourismus“, „Soziales“, „Bevölkerung“, „Infrastruktur“ und mehr (Stand: 26.10.2017);Krefeld;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Krefeld; ;6.57631417243855;51.2737502953402; ; 
41;https://opendata.leipzig.de/de/dataset;Leipzig Open Data;„Die Stadt Leipzig möchte verschiedene Datensätze aus der Verwaltung, Fachleuten sowie interessierten Nutzern zur Verfügung zu stellen. Für diesen Zweck wurde das Open Data-Portal der Stadt Leipzig eingerichtet. Zudem veröffentlicht die Stadtverwaltung Leipzig ihre Datensätze auf dem Datenportal für Deutschland.“ (Quelle: Leipzig Open Data, abgerufen am 26.10.2017);Leipzig;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Leipzig, Martin-Luther-Ring 4-6, 04109 Leipzig; ;12.3726786;51.3360227972215; ; 
42;https://open.lklg.net/;Open Data Portal des Landkreis Lüneburg;„Dies ist das Open Data Portal des Landkreis Lüneburg. Open Data steht für die Öffnung von Informationen und Daten des öffentlichen Sektors für die Allgemeinheit. Mit diesem Portal möchte der Landkreis Lüneburg mehr Transparenz der Kreisverwaltung schaffen.“ (Quelle: Open Data Portal des Landkreis Lüneburg, abgerufen am 26.10.2017);Lüneburg;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Landkreis Lüneburg, Auf dem Michaeliskloster 4, 21335 Lüneburg; ;10.4006111;53.2497211976143; ; 
43;https://www.magdeburg.de/Start/B%C3%BCrger-Stadt/Verwaltung-Service/Offene-Verwaltungsdaten/index.php?La=1&NavID=37.906&object=tx%7C37.12808.1&kat=&kuo=2&sub=0;Magdeburg Open Data;„Der Stadtrat hat sich zur Bereitstellung von offenen Verwaltungsdaten der Landeshauptstadt im Rahmen eines Projektes positioniert. Der Verwaltung ist es wichtig, überschaubar zu beginnen, Erfahrungen zu sammeln und darauf aufbauend sukzessive das Vorhaben weiter voranzutreiben.“
(Quelle: Landeshauptstadt Magdeburg, abgerufen am 26.10.2017);Magdeburg;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Landeshauptstadt Magdeburg, Alter Markt 6, 39104 Magdeburg; ;11.6491142570338;52.0909022112616; ; 
44;https://opendata.mannheim.de/;Open Data der Stadt Mannheim;„Der Gemeinderat der Stadt Mannheim hat im März 2015 beschlossen, dass auf einem eigenen Portal offene Daten (Open Data) zur Verfügung gestellt werden. Dieses Portal richtet sich sowohl an Bürger als auch an Entwickler von Anwendungen.“ (Quelle: Stadt Mannheim, abgerufen am 26.10.2017);Mannheim;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Mannheim, Rathaus, D-68159 Mannheim; ;8.46277684750246;49.4895778967662; ; 
45;http://www.geoportal-mv.de/;GDI Meck­len­burg-Vor­pom­mern;„Das Geodatenportal des Landes Mecklenburg-Vorpommern (GeoPortal.MV) ist der zentrale Zugangsknoten zu Geodaten und Geodatendiensten aus allen Bereichen der Landesverwaltung M-V und der Kommunalverwaltungen M-V. Politik, Wirtschaft, Wissenschaft, Verwaltung und Privatpersonen können auf diese Daten zugreifen, die eine verlässliche Grundlage für effiziente Entscheidungen bieten. Das GeoPortal.MV ist eine technische Kernkomponente der Geodateninfrastruktur Mecklenburg-Vorpommern (GDI-MV).“ (Quelle: GeoPortal.MV, abgerufen am 26.10.2017);MV; ; ;JA; ; ; ;geoda; ; ; ;JA;regional;Lübecker Straße 287, 19059 Schwerin;ja;11.4330766328815;53.6637888051962; ; 
46;https://opendata.meerbusch.de/;Meerbusch Open Data;„Die Stadt Meerbusch stellt ab 2017 offene Daten auf diesem Portal zur Verfügung. Wir starten mit ersten Daten zu Bevölkerung und Wahlen und bauen das Angebot in den kommenden Monaten weiter aus. Wir werden nach Abstimmung mit dem Land NRW bald auf Open.NRW als Datenbereitsteller gelistet, so dass unsere Informationen auch landes- und bundesweit gefunden werden können.“ (Quelle: Stadt Meerbusch, abgerufen am 26.10.2017);Meerbusch;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Meerbusch, Moerser Straße 28, 40667 Meerbusch; ;6.67290763578948;51.3125359275588; ; 
47;https://stadt-mittenwalde.opendata.arcgis.com/;Mittenwalde Open Data;Open Data Portal der Stadt Mittenwalde basierend auf ArcGIS Portal.  (Stand: 22.6.2018);Mittenwalde;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Mittenwalde, Rathausstraße 8, 15749 Mittenwalde; ;13.5877814419554;52.2863356736101; ; 
48;https://offenedaten.de/organization/mittenwalde;Stadt Mittenwalde auf Offenedaten.de;Open Data Portal der Stadt Mittenwalde auf Offenedaten.de, 7 Datensätze mit verschiedenen Tags, u.a. Verkehr, Bebauungsplan, Einwohner (Stand: 22.6.2018);Mittenwalde;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Mittenwalde, Rathausstraße 8, 15749 Mittenwalde; ;13.5652592136587;52.2256338974321; ; 
49;https://www.mittenwalde.de/de/service-wie-was-wo/geoportal/geoportal/;Geoportal der Stadt Mittenwalde;Geodaten der Stadt Mittenwalde zur Online-Ansicht. Es gibt gibt ein neues und ein altes Geoportal. Das Neue mit einer Liegenschaftskarte und einem Kartenthema zur Bauleitplanung ausgestattet ist. (Stand: 26.10.2017);Mittenwalde; ; ;JA; ; ; ;geoda; ; ; ;JA;kommunal;Stadt Mittenwalde, Rathausstraße 8, 15749 Mittenwalde;ja;13.4907993444521;52.2679119766003; ; 
50;http://offenedaten.moers.de/;Offene Daten Moers;"„Es handelt sich um ""offene"" Daten, weil die Stadt Moers die Datensätze zur freien Nutzung und in offenen, maschinenlesbaren Formaten bereitstellt. Wir folgen hier der Idee, die allgemein als Open Data bezeichnet wird. Die grundsätzliche Idee wird gut in den ""Externer Link10 Prinzipien offener Regierungsinformationen"" vermittelt.

Nach und nach werden wir den Bestand an offenen Daten erweitern. Wir veröffentlichen in unserem Portal auch Daten von Unternehmen oder Privatleuten, wenn sie einen Bezug zu Moers haben und es keine rechtlichen Beschränkungen gibt. Wenn Sie Daten haben, melden Sie sich!“ 
(Quelle: Stadt Moers, abgerufen am 26.10.2017)";Moers;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Rathaus Moers, Rathausplatz 1, 47441 Moers; ;6.6019909410187;51.5213047560239; ; 
51;https://www.moenchengladbach.de/de/aktuell-aktiv/open-data/;Mönchengladbach Open Data;„Die Stadt Mönchengladbach startet im Rahmen ihrer Open Government Bestrebungen dieses Open-Data-Portal.

Nach und nach werden wir den Bestand an offenen Daten erweitern und so eine Grundlage bilden, für einen demokratischen Wissensaustausch, mehr Partizipation und eine bessere Kommunkation zwischen Verwaltung, Politik und Bürgerinnen und Bürgern unserer Stadt.“ (Quelle: Stadt Mönchengladbach, abgerufen am 26.10.2017);Mönchengladbach;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Mönchengladbach, 41050 Mönchengladbach; ;6.45409639874154;51.2031667971913; ; 
52;https://geo.muelheim-ruhr.de/open-data/13819;Mülheim an der Ruhr Open Data;„Die Stadt Mülheim an der Ruhr stellt offene Daten (Open Data) als Rohdaten aus verschiedenen Bereichen der Verwaltung bereit. Eine automatisierte Aktualisierung sorgt dafür, dass stets nur die aktuellsten Daten publiziert werden.“ (Quelle: Stadt Mönchengladbach, abgerufen am 26.10.2017);Mülheim an der Ruhr;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Am Rathaus 1, 45468 Mülheim an der Ruhr; ;6.8786938;51.4284117972423; ; 
53;https://www.opengov-muenchen.de/;Open-Data-Portal München der Landeshauptstadt München;„Auf dem Open Data Portal München stellt die Landeshauptstadt München Datensätze der öffentlichen Verwaltung zur Verfügung. Verwaltungsmitarbeitern, Bürgerinnen und Bürgern, Unternehmen und Wissenschaftlern soll damit die Möglichkeit gegeben werden, über einen zentralen Einstiegspunkt auf Daten und Informationen der Verwaltung zuzugreifen und diese weiterzuverwenden, so dass durch neue Ideen sowie Kombination und Analyse neue Erkenntnisse aus den vorhandenen Daten gewonnen werden können.“ (Quelle: Open-Data-Portal München der Landeshauptstadt München, abgerufen am 26.10.2017);München;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Landeshauptstadt München, 80313 München; ;11.70349005555;48.0955694038047; ; 
54;http://www.stadt-muenster.de/katasteramt/geodatenmanagement/open-data.html;Offene Geodaten Münster;"„Die Stadt Münster beteiligt sich am Wettbewerb ""Apps für Deutschland"". Sie stellt dazu Datensätze über Spielplätze und Sportstätten als offene Daten zur Verfügung. Die Daten werden mit Stand Dezember 2011 bereitgestellt. Es kommt die Lizenz Creative Commons Namensnennung 3.0 zur Anwendung.“
(Quelle: Stadt Münster, abgerufen am 26.10.2017)";Münster (Westf.);JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Münster, 48127 Münster; ;7.65674219154562;51.9753337104224; ; 
56;https://transparenz.karlsruhe.de/;Karlsruhe Open Data;"Zentrale Anlaufstelle für offene Daten und Dokumente der Stadt Karlsruhe:

„Auf diesem Portal finden Sie sowohl Dokumente und Berichte, als auch maschinenlesbare Datensätze (""open data""). Diese Informationen dürfen Sie - unter einigen wenigen Bedingungen - kostenfrei weitergeben, bearbeiten und auch kommerziell nutzen. Wir freuen uns, wenn daraus interessante Projekte entstehen - und wenn Sie uns von Ihrem Projekt erzählen. Das Informationsangebot wird laufend erweitert.“
(Quelle: Stadt Karlsruhe, abgerufen am 27.10.2017)";Karlsruhe;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Stadt Karlsruhe, Karl-Friedrich-Str. 10, 76133 Karlsruhe; ;8.43329893440505;49.0611091786888; ; 
57;https://www.offenesdatenportal.de/organization/krzn;Kommunales Rechenzentrum Niederrhein;Offene Daten des Kommunalen Rechenzentrums Niederrhein (KRZN) mit Sitz in Kamp-Lintfort. Das KRZN ist ein kommunaler Zweckverband un IT-Dienster für Stadt Bottrop, Stadt Krefeld, Kreis Kleve, Kreis Viersen und Kreis Wesel. 25 Datensätze gruppiert nach den Themen „Wirtschaft und Arbeit“, „Öffentliche Verwaltung“ und „Geographie, Geologie und Geobasisdaten“ (Stand: 27.10.2017);Niederrhein;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Friedrich-Heinrich-Allee 130, 47475 Kamp-Lintfort;ja;6.53153174580536;51.4361284224905; ; 
